word,frequency,lang_code
tornozelo,1806,pt
nsa,1806,pt
campus,1805,pt
malvado,1805,pt
tomamos,1804,pt
desculpem-me,1804,pt
tatuagens,1803,pt
moore,1803,pt
óptimos,1802,pt
hans,1802,pt
conhecesse,1801,pt
salvou-me,1801,pt
dvd,1801,pt
sobrevivente,1800,pt
refiro-me,1799,pt
hills,1799,pt
river,1799,pt
pequenino,1798,pt
surpreende,1798,pt
dorothy,1798,pt
impressionar,1797,pt
condenados,1797,pt
eleanor,1797,pt
manchas,1797,pt
andavam,1797,pt
esperavas,1796,pt
iríamos,1794,pt
chora,1794,pt
perigosas,1793,pt
guarde,1793,pt
unir,1793,pt
estacionar,1792,pt
delicado,1792,pt
nazi,1792,pt
certificar-me,1792,pt
animado,1792,pt
voluntário,1792,pt
asneiras,1792,pt
lotaria,1791,pt
abandonada,1791,pt
enganou,1790,pt
chumbo,1790,pt
pontas,1790,pt
salvei,1790,pt
perguntou-me,1790,pt
captura,1789,pt
gajas,1789,pt
surpreso,1789,pt
voltámos,1788,pt
jefferson,1788,pt
valha,1788,pt
marvin,1788,pt
fino,1788,pt
automóvel,1786,pt
falcão,1786,pt
enganados,1785,pt
preocupo-me,1785,pt
wow,1785,pt
limpos,1784,pt
auxiliar,1784,pt
orgulhosos,1784,pt
wall,1783,pt
churrasco,1783,pt
estudei,1783,pt
seguidores,1781,pt
madrugada,1780,pt
disse-nos,1780,pt
manga,1779,pt
marijuana,1779,pt
bónus,1778,pt
realizador,1778,pt
ligas,1778,pt
longas,1778,pt
abatido,1777,pt
ringue,1776,pt
lembrar-se,1776,pt
young,1776,pt
positiva,1776,pt
corredores,1776,pt
toco,1776,pt
pilha,1776,pt
coro,1776,pt
vermos,1775,pt
comparar,1775,pt
cuido,1775,pt
warp,1775,pt
expectativas,1775,pt
larguem-me,1774,pt
queens,1774,pt
voluntários,1773,pt
pijama,1773,pt
detroit,1773,pt
passar-se,1772,pt
halloween,1772,pt
notar,1772,pt
pastilha,1771,pt
hammond,1771,pt
aproxima-se,1771,pt
satisfeita,1770,pt
serpente,1770,pt
aliviar,1770,pt
estreia,1769,pt
raposa,1769,pt
tás,1769,pt
tubos,1769,pt
salas,1769,pt
litros,1769,pt
confirma,1769,pt
deita-te,1768,pt
tímido,1768,pt
encontras,1768,pt
romântica,1768,pt
santuário,1768,pt
acampar,1768,pt
bico,1767,pt
bunker,1767,pt
confirmou,1767,pt
bébé,1766,pt
legítima,1766,pt
declarar,1766,pt
opiniões,1766,pt
erin,1766,pt
diferenças,1766,pt
fazer-nos,1765,pt
contentor,1765,pt
altar,1765,pt
destinado,1765,pt
insiste,1765,pt
south,1764,pt
necessita,1764,pt
ruído,1764,pt
alienígenas,1764,pt
comparado,1763,pt
cuide,1762,pt
thor,1762,pt
loucas,1762,pt
laço,1761,pt
negociações,1760,pt
happy,1760,pt
ervas,1759,pt
sucedido,1759,pt
pague,1759,pt
preciosa,1759,pt
phillip,1759,pt
batalhas,1759,pt
reza,1758,pt
poupa-me,1758,pt
pipocas,1758,pt
demasiados,1758,pt
avatar,1757,pt
dedicado,1757,pt
laurel,1757,pt
phoenix,1757,pt
atrevas,1756,pt
satanás,1756,pt
primos,1756,pt
procurá-lo,1756,pt
garras,1755,pt
tornar-me,1754,pt
amelia,1754,pt
trazem,1754,pt
dormido,1754,pt
ouvi-la,1754,pt
amo-a,1753,pt
cacifo,1753,pt
cortada,1753,pt
concordamos,1752,pt
percurso,1752,pt
deves-me,1752,pt
vivido,1752,pt
peço-lhe,1751,pt
cruzar,1751,pt
filmagens,1751,pt
apercebi-me,1750,pt
digo-vos,1750,pt
sesta,1750,pt
wally,1750,pt
fizeste-me,1750,pt
stevie,1749,pt
facebook,1749,pt
lâmpada,1748,pt
verme,1748,pt
pervertido,1748,pt
gatinho,1748,pt
episódios,1748,pt
ambição,1747,pt
correndo,1747,pt
garotos,1747,pt
iris,1747,pt
judicial,1747,pt
perguntes,1746,pt
sexto,1745,pt
baía,1745,pt
correctamente,1744,pt
seguintes,1743,pt
world,1743,pt
sino,1743,pt
actores,1743,pt
county,1743,pt
moderno,1743,pt
hugo,1742,pt
mantêm,1742,pt
shakespeare,1742,pt
boatos,1741,pt
tratam,1741,pt
ensaiar,1740,pt
extremo,1740,pt
aborto,1740,pt
trazê-la,1740,pt
magoe,1740,pt
ajudaria,1739,pt
golpes,1739,pt
assumo,1738,pt
netos,1738,pt
morfina,1737,pt
cachorros,1736,pt
falou-me,1736,pt
indivíduos,1735,pt
mates,1735,pt
refúgio,1735,pt
amiguinho,1735,pt
gideon,1734,pt
vendi,1734,pt
eterno,1734,pt
fôlego,1733,pt
actuação,1733,pt
destrói,1733,pt
aluna,1733,pt
trouxemos,1732,pt
reggie,1731,pt
sentires,1731,pt
pacto,1731,pt
larguem,1731,pt
gravado,1730,pt
atacados,1730,pt
ajudou-me,1730,pt
contares,1730,pt
etc,1729,pt
avancem,1729,pt
pensavam,1729,pt
estragos,1728,pt
chegas,1728,pt
benefícios,1728,pt
cat,1727,pt
agradecer-te,1726,pt
apaga,1726,pt
fujam,1726,pt
anual,1726,pt
andavas,1725,pt
tareia,1725,pt
deita,1725,pt
ponhas,1725,pt
reconstruir,1724,pt
cometido,1724,pt
anéis,1724,pt
recebem,1724,pt
rené,1724,pt
cavalaria,1723,pt
cassetes,1723,pt
improvável,1723,pt
afirma,1722,pt
pentágono,1722,pt
descarregar,1722,pt
escolho,1722,pt
mana,1722,pt
candidatos,1722,pt
entradas,1722,pt
puderem,1721,pt
nenhuns,1721,pt
doeu,1721,pt
baixa-te,1721,pt
summer,1721,pt
entendemos,1720,pt
dwight,1720,pt
acompanhante,1720,pt
dispare,1718,pt
vera,1718,pt
seguem,1718,pt
comprido,1717,pt
ward,1717,pt
apresentou,1717,pt
atacaram,1716,pt
kung,1716,pt
ventos,1716,pt
aperto,1716,pt
julgado,1715,pt
encontrei-a,1715,pt
joel,1715,pt
esposas,1715,pt
conduzo,1714,pt
descobrirmos,1714,pt
sacrificar,1714,pt
significam,1713,pt
simpáticos,1712,pt
governar,1712,pt
tarda,1712,pt
fitz,1712,pt
expedição,1712,pt
diga-lhes,1712,pt
comprimido,1711,pt
espiar,1711,pt
adrenalina,1711,pt
acredites,1711,pt
bastão,1711,pt
hábitos,1710,pt
fazê-los,1710,pt
kirsten,1709,pt
gorjeta,1709,pt
desfrutar,1709,pt
aventuras,1709,pt
acidentalmente,1709,pt
baratas,1708,pt
girar,1708,pt
arrasar,1708,pt
conhecimentos,1708,pt
tolice,1707,pt
agressivo,1707,pt
atirado,1707,pt
deprimido,1707,pt
matando,1707,pt
fale-me,1706,pt
antecedentes,1706,pt
uid,1705,pt
cristão,1704,pt
donuts,1704,pt
rodada,1704,pt
deb,1703,pt
tenciono,1702,pt
usem,1701,pt
eleito,1701,pt
tirada,1701,pt
paramos,1700,pt
atreve,1700,pt
manobra,1700,pt
ferramenta,1699,pt
editora,1699,pt
gavin,1699,pt
pergunta-lhe,1699,pt
americanas,1699,pt
conter,1698,pt
hóquei,1698,pt
vagabundo,1698,pt
encontrará,1698,pt
escova,1697,pt
june,1697,pt
exposto,1697,pt
ligaram,1696,pt
baltimore,1696,pt
pesos,1696,pt
profecia,1696,pt
escreva,1696,pt
rígido,1695,pt
abanar,1695,pt
vacina,1695,pt
lareira,1693,pt
neta,1693,pt
queima,1693,pt
ver-vos,1693,pt
veias,1693,pt
aperta,1693,pt
misteriosa,1693,pt
percy,1692,pt
donovan,1692,pt
fantasias,1692,pt
glen,1692,pt
tornaram-se,1692,pt
cortinas,1692,pt
perguntado,1692,pt
falaremos,1691,pt
asa,1691,pt
vazias,1691,pt
teal,1691,pt
conheces-me,1690,pt
cardeal,1690,pt
explicações,1689,pt
anton,1689,pt
duros,1689,pt
xena,1688,pt
erica,1688,pt
juízes,1688,pt
trancado,1688,pt
seguindo,1688,pt
valley,1688,pt
radical,1687,pt
salvá-la,1687,pt
começares,1687,pt
câmbio,1687,pt
põe-me,1686,pt
redes,1686,pt
abro,1686,pt
sensato,1686,pt
denunciar,1686,pt
ernie,1685,pt
empresário,1685,pt
travar,1685,pt
traseira,1685,pt
variar,1685,pt
tendência,1685,pt
demissão,1685,pt
investigador,1685,pt
peço-te,1685,pt
procedimentos,1685,pt
bruto,1685,pt
wes,1684,pt
convincente,1684,pt
gray,1684,pt
egipto,1684,pt
torne,1683,pt
exigências,1683,pt
investir,1683,pt
passem,1683,pt
senhoria,1683,pt
farmácia,1681,pt
anoitecer,1681,pt
refere,1681,pt
regina,1681,pt
kramer,1681,pt
ache,1680,pt
trágico,1680,pt
ava,1680,pt
vaughn,1680,pt
evelyn,1679,pt
tirar-me,1679,pt
relevante,1679,pt
fechadas,1679,pt
deste-me,1678,pt
recordação,1678,pt
serra,1678,pt
aspeto,1678,pt
historial,1678,pt
bluff,1677,pt
ganhámos,1677,pt
hughes,1676,pt
amorosa,1676,pt
veado,1676,pt
foram-se,1675,pt
jessie,1675,pt
entrarem,1675,pt
entenda,1675,pt
carinho,1675,pt
paramédicos,1674,pt
garrett,1674,pt
brinques,1674,pt
pequenina,1674,pt
ir-me,1673,pt
corresponde,1673,pt
industrial,1673,pt
garanto-lhe,1673,pt
odeiam,1673,pt
murray,1672,pt
surgir,1672,pt
compro,1672,pt
perpétua,1671,pt
cunhado,1671,pt
categoria,1671,pt
deixem-nos,1671,pt
tóquio,1671,pt
partiram,1671,pt
círculos,1670,pt
amém,1670,pt
prossiga,1670,pt
deu-te,1670,pt
violada,1670,pt
culpas,1669,pt
insistir,1669,pt
cheiras,1669,pt
virgínia,1668,pt
avós,1668,pt
deixe-a,1666,pt
carolina,1666,pt
podeis,1665,pt
pedindo,1665,pt
param,1665,pt
agradecer-lhe,1665,pt
valerie,1665,pt
tronco,1665,pt
mostrar-me,1664,pt
põem,1664,pt
segui-lo,1664,pt
vício,1664,pt
precaução,1664,pt
hamilton,1663,pt
poeira,1663,pt
afectar,1663,pt
cicatrizes,1663,pt
arrastar,1663,pt
atlanta,1663,pt
bêbados,1663,pt
fraldas,1662,pt
honestos,1662,pt
cocó,1661,pt
ouvires,1661,pt
prendas,1661,pt
alterações,1661,pt
rolo,1661,pt
protegê-la,1660,pt
suor,1660,pt
substância,1660,pt
continuava,1660,pt
chantagem,1658,pt
jurar,1658,pt
sandra,1657,pt
calendário,1657,pt
começarem,1657,pt
inventei,1657,pt
mergulhar,1657,pt
marilyn,1657,pt
assaltar,1656,pt
diga-nos,1656,pt
segura-te,1656,pt
alf,1655,pt
coelhos,1655,pt
arrependido,1655,pt
seguidos,1655,pt
arranca,1655,pt
kid,1655,pt
grata,1655,pt
avançada,1654,pt
culpo,1654,pt
telegrama,1654,pt
essência,1654,pt
raptada,1654,pt
levando,1654,pt
caçada,1654,pt
bófia,1653,pt
psicologia,1653,pt
batalhão,1652,pt
bebemos,1651,pt
pearl,1651,pt
cálculos,1651,pt
circular,1651,pt
marcel,1651,pt
salsicha,1651,pt
facial,1651,pt
venceu,1650,pt
distracção,1650,pt
assassinar,1649,pt
hudson,1649,pt
maldade,1648,pt
muitíssimo,1648,pt
receitas,1648,pt
compreensão,1648,pt
zonas,1647,pt
porão,1647,pt
levantem-se,1647,pt
tornei-me,1647,pt
insistiu,1646,pt
bonecas,1646,pt
latas,1646,pt
apanhe,1646,pt
queimaduras,1645,pt
tornei,1645,pt
lynn,1645,pt
noivos,1645,pt
poção,1645,pt
algodão,1644,pt
fizesses,1643,pt
pedem,1643,pt
literatura,1643,pt
pesquisas,1643,pt
maridos,1643,pt
escolta,1643,pt
levantem,1642,pt
desviar,1642,pt
coberta,1641,pt
cristina,1641,pt
deres,1641,pt
dirige,1640,pt
mintas,1640,pt
definição,1639,pt
arranjas,1639,pt
troféu,1639,pt
parece-te,1639,pt
reflexo,1639,pt
ouvia,1638,pt
companheira,1638,pt
jura,1638,pt
sloan,1637,pt
suar,1637,pt
aproxima,1636,pt
invenção,1636,pt
cansados,1636,pt
corrupção,1635,pt
jogou,1635,pt
queca,1635,pt
brett,1635,pt
semestre,1634,pt
manter-me,1634,pt
verifique,1633,pt
mecanismo,1633,pt
receberam,1633,pt
deixe-nos,1633,pt
sophia,1633,pt
corrido,1632,pt
recibo,1632,pt
perfeitos,1632,pt
técnicos,1632,pt
sasha,1632,pt
fatia,1632,pt
calções,1632,pt
descanse,1631,pt
apresento-te,1631,pt
mapas,1631,pt
entres,1630,pt
peste,1629,pt
lutamos,1629,pt
incómodo,1629,pt
abraçar,1629,pt
italianos,1628,pt
atum,1628,pt
representação,1628,pt
descobrirem,1628,pt
calculo,1627,pt
deixei-o,1627,pt
ex-marido,1627,pt
arranjamos,1626,pt
vivian,1626,pt
deveres,1626,pt
marcou,1625,pt
deixou-o,1625,pt
previsto,1625,pt
jamal,1625,pt
aparecido,1624,pt
gelada,1624,pt
armadilhas,1624,pt
evidência,1624,pt
atacada,1623,pt
neill,1622,pt
medos,1622,pt
mostro-te,1622,pt
assustar-me,1621,pt
jogado,1621,pt
alinho,1621,pt
barril,1621,pt
sonda,1620,pt
altitude,1620,pt
sepultura,1620,pt
dói-me,1620,pt
parecidos,1620,pt
santidade,1619,pt
antídoto,1619,pt
reagan,1619,pt
iniciais,1619,pt
robot,1618,pt
honrar,1618,pt
confiei,1617,pt
transplante,1617,pt
henrique,1617,pt
divertir-te,1617,pt
jurisdição,1616,pt
theo,1616,pt
clubes,1616,pt
capturado,1616,pt
cimento,1615,pt
provou,1615,pt
mole,1615,pt
claque,1615,pt
desempenho,1615,pt
atentos,1615,pt
banheiro,1615,pt
ocorre,1615,pt
dormindo,1614,pt
eugene,1614,pt
atirem,1614,pt
envie,1614,pt
tira-o,1613,pt
sairá,1613,pt
currículo,1613,pt
cantor,1611,pt
sylvia,1611,pt
naqueles,1611,pt
quebrou,1611,pt
resíduos,1611,pt
vejo-o,1610,pt
tiramos,1610,pt
bacano,1610,pt
extensão,1610,pt
pobreza,1610,pt
investigações,1609,pt
despedir-me,1609,pt
contava,1609,pt
silencioso,1609,pt
exacta,1608,pt
apanha-o,1608,pt
veredicto,1607,pt
constituição,1607,pt
cartaz,1607,pt
jan,1607,pt
shirley,1607,pt
acabaram-se,1606,pt
corri,1605,pt
prendeu,1605,pt
consigamos,1605,pt
matamos,1605,pt
sessões,1605,pt
preparem,1604,pt
strip,1604,pt
passageiro,1604,pt
nasceste,1604,pt
preparação,1604,pt
declarações,1604,pt
falarei,1604,pt
apodrecer,1603,pt
colorado,1602,pt
mobília,1602,pt
agradecemos,1602,pt
seriamente,1602,pt
hotéis,1601,pt
moe,1601,pt
fiz-te,1601,pt
colaborar,1600,pt
atentado,1600,pt
mademoiselle,1600,pt
del,1599,pt
ética,1599,pt
broadway,1599,pt
adoramos,1599,pt
tocas,1599,pt
cancelado,1598,pt
notei,1598,pt
sacrifícios,1597,pt
chegasse,1597,pt
eficiente,1596,pt
autêntico,1596,pt
magoada,1596,pt
prepare,1596,pt
começava,1595,pt
corrupto,1595,pt
contabilista,1595,pt
telefonei,1595,pt
importe,1595,pt
arranjar-te,1594,pt
nikita,1594,pt
mimi,1594,pt
condicionado,1593,pt
dar-vos,1593,pt
respeita,1593,pt
pertenço,1593,pt
andre,1593,pt
mills,1592,pt
benefício,1592,pt
demoro,1592,pt
està,1591,pt
resgatar,1591,pt
piquenique,1590,pt
exercícios,1590,pt
bocados,1590,pt
cabos,1589,pt
conseguias,1589,pt
probabilidade,1589,pt
fornecer,1589,pt
racista,1588,pt
certificar,1588,pt
nasa,1588,pt
homenagem,1588,pt
carregada,1588,pt
revistar,1588,pt
arena,1587,pt
crescem,1586,pt
tratas,1586,pt
crias,1586,pt
sidney,1585,pt
inesperado,1585,pt
espreitar,1585,pt
especialistas,1585,pt
desceu,1584,pt
sexualmente,1584,pt
amarela,1584,pt
impedi-lo,1584,pt
miséria,1584,pt
cogumelos,1584,pt
deixámos,1582,pt
amador,1582,pt
profeta,1582,pt
meter-se,1582,pt
isolamento,1582,pt
custos,1581,pt
ash,1581,pt
religioso,1581,pt
ninja,1581,pt
independência,1581,pt
trazia,1580,pt
simpatia,1579,pt
dawson,1579,pt
reação,1579,pt
refiro,1579,pt
marina,1579,pt
táctica,1578,pt
artilharia,1578,pt
montgomery,1578,pt
tanner,1578,pt
contratos,1577,pt
vias,1577,pt
leões,1577,pt
mandem,1577,pt
partidos,1576,pt
jipe,1576,pt
línguas,1575,pt
hilariante,1575,pt
piscar,1575,pt
pedrado,1575,pt
passará,1575,pt
apanhem-no,1575,pt
cuidadoso,1574,pt
expulsar,1574,pt
entusiasmada,1573,pt
ezra,1573,pt
demoraste,1573,pt
mentais,1572,pt
sofia,1572,pt
formal,1572,pt
paranóico,1571,pt
gil,1571,pt
prisões,1570,pt
cooperação,1570,pt
olhava,1570,pt
conseguiremos,1570,pt
capela,1569,pt
quebra,1569,pt
companhias,1569,pt
remoto,1568,pt
turnos,1568,pt
voltemos,1568,pt
coco,1568,pt
brady,1568,pt
revelou,1567,pt
apetecer,1567,pt
bêbeda,1567,pt
bree,1566,pt
aguarda,1566,pt
retorno,1566,pt
combina,1566,pt
pudemos,1566,pt
insignificante,1566,pt
cavernas,1566,pt
zombie,1566,pt
shelby,1565,pt
suspenso,1565,pt
tramado,1565,pt
desejas,1564,pt
plasma,1564,pt
cérebros,1563,pt
vire-se,1563,pt
gregory,1563,pt
cócegas,1563,pt
imediata,1563,pt
fulano,1562,pt
leve-me,1562,pt
espionagem,1562,pt
matares,1562,pt
delicada,1562,pt
identificado,1561,pt
dai,1561,pt
nenhumas,1561,pt
choro,1561,pt
distribuição,1560,pt
solta-me,1560,pt
levados,1560,pt
protegida,1560,pt
perdidas,1560,pt
doentio,1559,pt
mudou-se,1559,pt
detectar,1559,pt
derrotado,1559,pt
sozinhas,1559,pt
entao,1558,pt
fort,1558,pt
públicos,1558,pt
luthor,1557,pt
pedes,1557,pt
gabe,1556,pt
luva,1556,pt
morrendo,1556,pt
pagamos,1555,pt
criaram,1555,pt
price,1554,pt
apanhem,1554,pt
bode,1554,pt
refugiados,1554,pt
tolos,1554,pt
recusa,1553,pt
secar,1553,pt
abrandar,1553,pt
feijões,1553,pt
nevoeiro,1553,pt
defeito,1553,pt
católica,1552,pt
rata,1551,pt
mercedes,1551,pt
divina,1551,pt
isolado,1551,pt
sentindo,1551,pt
suíça,1550,pt
charme,1550,pt
estavamos,1550,pt
oriental,1550,pt
alpha,1549,pt
spike,1549,pt
desligou,1549,pt
operacional,1549,pt
responde-me,1549,pt
brilha,1548,pt
resolvemos,1548,pt
raptou,1547,pt
farda,1547,pt
respondi,1547,pt
acordos,1547,pt
desaparecem,1546,pt
mudo,1546,pt
pedi-lhe,1546,pt
insecto,1546,pt
pagamentos,1546,pt
sólido,1546,pt
violenta,1545,pt
vendem,1545,pt
compre,1545,pt
cãozinho,1544,pt
polly,1544,pt
réu,1543,pt
matty,1543,pt
absoluto,1543,pt
ressaca,1543,pt
pimenta,1542,pt
longos,1542,pt
saberei,1542,pt
estadual,1542,pt
mantenham-se,1542,pt
art,1542,pt
pousa,1542,pt
tammy,1542,pt
gostavam,1541,pt
lutam,1541,pt
pope,1540,pt
síndrome,1540,pt
célula,1540,pt
compartilhar,1540,pt
bobo,1540,pt
drive,1540,pt
dificilmente,1540,pt
comia,1540,pt
discussões,1540,pt
lutei,1539,pt
planeia,1539,pt
parava,1539,pt
salvamento,1539,pt
gritou,1538,pt
fuma,1538,pt
violou,1537,pt
vê-las,1537,pt
brien,1537,pt
fichas,1537,pt
necessários,1536,pt
escolhemos,1536,pt
esperou,1536,pt
rich,1536,pt
baxter,1536,pt
abe,1536,pt
letal,1536,pt
celular,1536,pt
paradeiro,1536,pt
adopção,1535,pt
francos,1535,pt
esconder-se,1535,pt
incomodado,1534,pt
cathy,1534,pt
baixe,1534,pt
monty,1534,pt
pode-me,1534,pt
auto,1533,pt
nojenta,1532,pt
flecha,1532,pt
assassinou,1531,pt
avisa,1531,pt
objectivos,1531,pt
tornam,1531,pt
irene,1531,pt
foi-me,1531,pt
conhece-lo,1531,pt
futura,1530,pt
aguente,1529,pt
flutuar,1529,pt
inicio,1529,pt
qualidades,1529,pt
dante,1528,pt
hayes,1528,pt
cristãos,1528,pt
depor,1528,pt
dinozzo,1527,pt
combinar,1527,pt
salvar-te,1527,pt
artéria,1527,pt
fenda,1527,pt
específica,1526,pt
deitada,1526,pt
instalação,1525,pt
batom,1524,pt
eléctrico,1524,pt
cheryl,1524,pt
bolinhos,1524,pt
imaginem,1524,pt
val,1524,pt
furacão,1523,pt
refere-se,1523,pt
tenho-o,1523,pt
putos,1522,pt
cimo,1522,pt
conte-me,1522,pt
satisfação,1522,pt
cumpriu,1522,pt
colchão,1522,pt
jacto,1521,pt
trocos,1521,pt
fachada,1521,pt
devo-te,1521,pt
hostil,1520,pt
casco,1520,pt
stu,1520,pt
enviaram,1520,pt
entrares,1520,pt
retirado,1519,pt
generosa,1519,pt
imortal,1519,pt
canhões,1519,pt
convidei,1519,pt
feriado,1518,pt
moscas,1518,pt
golo,1518,pt
mentido,1517,pt
sentimental,1517,pt
corporal,1517,pt
avisei-te,1516,pt
desafiar,1516,pt
assina,1516,pt
atravessou,1516,pt
fofo,1515,pt
gestão,1515,pt
sabido,1515,pt
lembrar-te,1513,pt
cruzeiro,1513,pt
otto,1513,pt
recomendo,1512,pt
fantásticos,1512,pt
madre,1512,pt
devas,1511,pt
apocalipse,1511,pt
tentarei,1511,pt
gilbert,1511,pt
brinca,1511,pt
fugiste,1511,pt
falência,1511,pt
atleta,1510,pt
discreto,1510,pt
manuel,1509,pt
levantou,1508,pt
parares,1506,pt
expressar,1506,pt
insisto,1506,pt
tacos,1506,pt
ivy,1505,pt
metida,1505,pt
atendo,1505,pt
raiz,1504,pt
ofender,1504,pt
ninguem,1504,pt
ouviste-me,1503,pt
perturbada,1503,pt
montana,1503,pt
feijão,1503,pt
tocava,1502,pt
lida,1502,pt
viaja,1502,pt
artificial,1502,pt
chamar-te,1502,pt
fractura,1501,pt
soar,1501,pt
paquistão,1501,pt
consultar,1500,pt
apartamentos,1500,pt
galo,1500,pt
digressão,1500,pt
bota,1499,pt
costumavam,1499,pt
grades,1499,pt
amo-o,1499,pt
vega,1499,pt
robinson,1499,pt
desenhada,1498,pt
meti,1498,pt
legítimo,1497,pt
mae,1497,pt
portland,1496,pt
percorrer,1496,pt
baseada,1496,pt
sacar,1496,pt
ajudam,1496,pt
possivel,1496,pt
revolta,1496,pt
cintura,1496,pt
precisão,1495,pt
jogamos,1495,pt
marcação,1495,pt
morava,1495,pt
abençoado,1495,pt
flórida,1495,pt
gaita,1495,pt
encerrar,1494,pt
anedota,1494,pt
violentos,1494,pt
acontecimento,1494,pt
chichi,1494,pt
avariado,1493,pt
nobres,1493,pt
lote,1493,pt
baleias,1493,pt
chamam-lhe,1492,pt
deeks,1492,pt
ganharam,1492,pt
encarregado,1491,pt
addison,1491,pt
irrelevante,1491,pt
tranquila,1491,pt
rios,1490,pt
perdas,1490,pt
enviados,1490,pt
ruiva,1490,pt
vegetais,1489,pt
pêlo,1489,pt
falasse,1488,pt
domingos,1488,pt
numero,1488,pt
plena,1486,pt
transmissor,1486,pt
queixar,1486,pt
instalar,1485,pt
unidas,1485,pt
cortina,1485,pt
considero,1485,pt
camioneta,1485,pt
músico,1485,pt
faz-nos,1485,pt
cass,1484,pt
frankenstein,1484,pt
espetacular,1484,pt
satisfazer,1484,pt
acabares,1483,pt
lateral,1482,pt
raio-x,1482,pt
sao,1481,pt
air,1481,pt
gama,1481,pt
menu,1481,pt
assustaste-me,1481,pt
explique,1481,pt
callie,1480,pt
envergonhada,1480,pt
tentarem,1480,pt
servido,1480,pt
projectos,1480,pt
maurice,1480,pt
insinuar,1480,pt
causas,1479,pt
assento,1479,pt
debra,1479,pt
robôs,1479,pt
afecta,1479,pt
ferir,1478,pt
magro,1478,pt
trazer-me,1478,pt
estágio,1477,pt
juíza,1477,pt
autocarros,1477,pt
passarinho,1476,pt
your,1475,pt
alá,1475,pt
docinho,1475,pt
sova,1475,pt
procurou,1475,pt
esgoto,1475,pt
financeira,1475,pt
eduardo,1475,pt
ajustar,1475,pt
doçura,1474,pt
javier,1474,pt
recorrer,1473,pt
desaparecidas,1472,pt
hannibal,1472,pt
ditado,1472,pt
zoológico,1471,pt
grécia,1471,pt
virei,1471,pt
quereis,1471,pt
emocionalmente,1471,pt
saberão,1471,pt
day,1471,pt
desmaiou,1471,pt
georgia,1470,pt
pensaria,1470,pt
marc,1470,pt
esmagar,1469,pt
imensos,1469,pt
encontra-se,1469,pt
desvio,1469,pt
fabulosa,1469,pt
powell,1468,pt
asilo,1468,pt
escritórios,1468,pt
inteiramente,1467,pt
willy,1467,pt
fazer-se,1467,pt
pinturas,1467,pt
mccoy,1466,pt
perguntei-lhe,1466,pt
adequada,1466,pt
mal-entendido,1466,pt
stewie,1465,pt
impecável,1465,pt
garantido,1465,pt
riso,1465,pt
rins,1465,pt
agências,1464,pt
ironia,1464,pt
britânica,1463,pt
levares,1463,pt
exigir,1463,pt
picante,1462,pt
idosos,1462,pt
luis,1462,pt
navegar,1462,pt
lizzie,1461,pt
vantagens,1461,pt
simmons,1461,pt
viu-o,1461,pt
processos,1461,pt
explosivo,1461,pt
recolha,1460,pt
oiço,1460,pt
cometa,1460,pt
doris,1459,pt
tornaste,1459,pt
potter,1459,pt
caia,1459,pt
comandar,1459,pt
aplicação,1458,pt
paisagem,1458,pt
paras,1458,pt
pouquinho,1458,pt
passes,1458,pt
chapéus,1457,pt
criminosa,1457,pt
tinha-me,1457,pt
traidores,1456,pt
quentin,1456,pt
impressionada,1456,pt
comentar,1456,pt
costumavas,1456,pt
convenceu,1455,pt
cantos,1455,pt
prometido,1455,pt
congelado,1455,pt
elijah,1454,pt
pátria,1454,pt
chegava,1454,pt
repita,1454,pt
forçada,1453,pt
quanta,1452,pt
sugar,1452,pt
condessa,1452,pt
ladra,1452,pt
merecer,1451,pt
peterson,1451,pt
ligeiramente,1451,pt
gates,1450,pt
interferência,1450,pt
podes-me,1450,pt
joyce,1450,pt
excitada,1449,pt
dee,1449,pt
bebia,1449,pt
enterrada,1449,pt
alcunha,1449,pt
resolvi,1449,pt
estadia,1449,pt
melanie,1449,pt
bem-estar,1448,pt
escuras,1448,pt
conclusões,1448,pt
químico,1448,pt
ensinar-te,1448,pt
precisos,1447,pt
vermes,1447,pt
bombeiro,1447,pt
matas,1447,pt
aspectos,1447,pt
malditas,1447,pt
magoar-me,1447,pt
consumo,1446,pt
prejudicar,1446,pt
nomeado,1446,pt
pisar,1445,pt
celebração,1445,pt
despertar,1445,pt
úteis,1445,pt
explico,1445,pt
estupor,1444,pt
arodri,1444,pt
mestres,1444,pt
manipular,1444,pt
construída,1444,pt
fragmentos,1444,pt
point,1443,pt
preservativo,1443,pt
verificação,1443,pt
conhecias,1443,pt
ruínas,1443,pt
chulo,1442,pt
camada,1442,pt
pagos,1442,pt
mantimentos,1442,pt
siga-me,1442,pt
incomum,1442,pt
lori,1441,pt
nalguma,1441,pt
contrabando,1441,pt
brandy,1441,pt
conheças,1441,pt
jenkins,1441,pt
vilão,1440,pt
rostos,1440,pt
atingida,1440,pt
organismo,1439,pt
preocupas,1439,pt
encontremos,1439,pt
esqueço,1439,pt
contos,1439,pt
morrerem,1438,pt
janice,1438,pt
rumor,1438,pt
lorenzo,1438,pt
formigas,1438,pt
pico,1438,pt
semente,1438,pt
residentes,1437,pt
contabilidade,1437,pt
dinossauros,1437,pt
vence,1437,pt
mérito,1436,pt
gasto,1436,pt
correios,1436,pt
concentrado,1436,pt
abrimos,1436,pt
tomaram,1436,pt
sossegado,1435,pt
farsa,1434,pt
fossemos,1434,pt
