word,frequency,lang_code
começar,59403,pt
faço,59227,pt
perto,58772,pt
cuidado,58431,pt
sangue,58342,pt
nossos,58320,pt
semana,58178,pt
mesma,57971,pt
usar,57208,pt
significa,57165,pt
acredito,56788,pt
querem,56678,pt
cinco,56560,pt
acabou,56229,pt
problemas,56026,pt
corpo,55187,pt
altura,54985,pt
disseste,54969,pt
nisso,54557,pt
chefe,54378,pt
jogo,54361,pt
guerra,54294,pt
fala,54162,pt
procura,54105,pt
sabemos,53863,pt
fizeste,53799,pt
ouve,53695,pt
realmente,53660,pt
terra,53588,pt
havia,53560,pt
ontem,53166,pt
umas,53081,pt
deixa-me,52829,pt
dólares,52755,pt
comer,52203,pt
dormir,52185,pt
escola,52105,pt
logo,52019,pt
querido,51974,pt
sabem,51809,pt
fim,51803,pt
deste,51477,pt
eram,51420,pt
pára,51392,pt
agente,51239,pt
equipa,51176,pt
rapariga,51106,pt
marido,50972,pt
calma,50824,pt
coração,50813,pt
segurança,50744,pt
viver,50721,pt
estado,50689,pt
parar,50605,pt
teve,50564,pt
segundo,50553,pt
muitas,50421,pt
quatro,50360,pt
mão,50295,pt
baixo,50224,pt
maior,50189,pt
meio,50170,pt
meses,49951,pt
mau,49760,pt
ouvi,48730,pt
andar,48691,pt
rápido,48635,pt
número,48606,pt
vejo,48440,pt
mulheres,48323,pt
morreu,48286,pt
nenhuma,48230,pt
acordo,47631,pt
festa,47608,pt
fazes,47485,pt
capitão,47464,pt
raio,47286,pt
pais,47182,pt
suficiente,46782,pt
poderia,46672,pt
crianças,46450,pt
estavam,46424,pt
força,46344,pt
muitos,46324,pt
nesta,46217,pt
presidente,46216,pt
buscar,46195,pt
filhos,46046,pt
perder,45963,pt
esperar,45714,pt
viu,45703,pt
irmã,45701,pt
chega,45570,pt
possível,45524,pt
devias,45485,pt
sai,45395,pt
acabar,45328,pt
rapazes,45181,pt
precisas,45166,pt
elas,45125,pt
contar,45106,pt
idiota,44911,pt
olhar,44874,pt
vossa,44852,pt
teria,44675,pt
foste,44577,pt
estavas,44480,pt
pena,44475,pt
mil,44441,pt
longe,44417,pt
faça,43981,pt
penso,43834,pt
tivesse,43701,pt
tuas,43583,pt
pedir,43579,pt
estranho,43506,pt
importa,43472,pt
fácil,43456,pt
muita,43438,pt
veio,43319,pt
brincar,43210,pt
bebé,43190,pt
plano,43145,pt
devo,42544,pt
prazer,42516,pt
velho,42402,pt
conseguir,42290,pt
passado,42087,pt
tomar,42065,pt
além,42025,pt
jantar,41913,pt
dá-me,41844,pt
depressa,41624,pt
pergunta,41524,pt
tirar,41314,pt
pequeno,40817,pt
descobrir,40783,pt
sala,40436,pt
telefone,40267,pt
trás,40236,pt
seis,39970,pt
culpa,39948,pt
vos,39896,pt
exactamente,39866,pt
possa,39755,pt
deixa,39728,pt
errado,39687,pt
vivo,39605,pt
menina,39565,pt
john,39542,pt
casamento,39527,pt
outras,39513,pt
espere,39435,pt
pensa,39341,pt
jack,39310,pt
nossas,39155,pt
correr,39053,pt
mudar,38981,pt
diga,38943,pt
paz,38785,pt
sentir,38686,pt
cama,38507,pt
gostava,38473,pt
sozinho,38458,pt
pelos,38289,pt
comida,38245,pt
sequer,38174,pt
falta,37969,pt
ficou,37955,pt
conheço,37890,pt
gosta,37730,pt
passou,37679,pt
bastante,37552,pt
deu,37551,pt
provavelmente,37476,pt
palavra,37450,pt
demasiado,37434,pt
diferente,37413,pt
essas,37280,pt
armas,37169,pt
digo,37023,pt
licença,36862,pt
demais,36854,pt
pagar,36833,pt
médico,36748,pt
seguir,36743,pt
semanas,36681,pt
consegues,36650,pt
dizem,36601,pt
matou,36586,pt
único,36576,pt
acreditar,36570,pt
local,36471,pt
fazem,36463,pt
pior,36433,pt
próprio,36430,pt
continua,36405,pt
vosso,36257,pt
consegue,36026,pt
fico,36021,pt
diz-me,35872,pt
país,35742,pt
gostaria,35575,pt
forte,35421,pt
partir,35362,pt
prisão,35259,pt
próxima,35163,pt
especial,35130,pt
esteja,35049,pt
livro,35039,pt
oportunidade,34846,pt
viste,34767,pt
rei,34746,pt
chegou,34703,pt
esses,34683,pt
continuar,34668,pt
resto,34642,pt
estive,34600,pt
hospital,34579,pt
sítio,34422,pt
fazê-lo,34378,pt
raios,34193,pt
ligar,34153,pt
porra,34131,pt
minuto,34107,pt
irá,34030,pt
sentido,33982,pt
atenção,33925,pt
vim,33882,pt
quis,33683,pt
sam,33627,pt
queremos,33584,pt
direito,33578,pt
café,33557,pt
venha,33535,pt
visto,33434,pt
criança,33410,pt
luz,33385,pt
filme,33142,pt
música,33018,pt
portanto,33007,pt
haver,32891,pt
esteve,32832,pt
aqueles,32818,pt
pôr,32775,pt
querer,32709,pt
sexo,32629,pt
fogo,32587,pt
connosco,32452,pt
beber,32429,pt
toma,32426,pt
houve,32246,pt
tratar,32171,pt
pequena,32116,pt
ganhar,32104,pt
ponto,31987,pt
milhões,31952,pt
manter,31864,pt
precisar,31825,pt
rua,31802,pt
olhe,31762,pt
fazemos,31621,pt
encontrei,31615,pt
miúda,31599,pt
existe,31282,pt
arranjar,31261,pt
dez,31222,pt
último,31217,pt
assassino,31097,pt
miúdo,31086,pt
tinhas,30940,pt
estávamos,30919,pt
cedo,30879,pt
vês,30772,pt
boca,30761,pt
boas,30709,pt
acontece,30576,pt
jovem,30530,pt
preocupes,30466,pt
comprar,30428,pt
situação,30325,pt
esposa,30325,pt
sistema,30276,pt
devem,30245,pt
jogar,30222,pt
natal,30081,pt
capaz,30011,pt
certa,29992,pt
michael,29983,pt
amiga,29977,pt
seguro,29920,pt
questão,29903,pt
relação,29811,pt
perguntas,29801,pt
encontro,29770,pt
sob,29735,pt
cão,29674,pt
quiseres,29623,pt
negócio,29616,pt
quiser,29535,pt
nisto,29458,pt
sinal,29396,pt
linda,29300,pt
facto,29295,pt
mensagem,29278,pt
próximo,29269,pt
apanhar,29227,pt
adoro,29117,pt
crime,29057,pt
banho,29012,pt
própria,28963,pt
deves,28895,pt
grandes,28892,pt
chamada,28632,pt
finalmente,28628,pt
novamente,28623,pt
futuro,28456,pt
começou,28450,pt
perguntar,28417,pt
notícias,28382,pt
acabei,28251,pt
fique,28162,pt
ambos,28153,pt
lhes,27971,pt
chamar,27963,pt
entendo,27944,pt
cabelo,27916,pt
entra,27874,pt
grupo,27863,pt
doutor,27814,pt
salvar,27771,pt
livre,27758,pt
viagem,27700,pt
vontade,27566,pt
sozinha,27564,pt
conversa,27504,pt
tipos,27479,pt
fugir,27477,pt
palavras,27419,pt
consegui,27407,pt
tinham,27323,pt
devíamos,27302,pt
lista,27301,pt
gostas,27275,pt
lutar,27262,pt
escritório,27160,pt
peço,27142,pt
final,26962,pt
procurar,26943,pt
deixou,26919,pt
alto,26916,pt
interessa,26809,pt
bonito,26558,pt
chão,26505,pt
campo,26478,pt
perfeito,26470,pt
tio,26406,pt
estiver,26390,pt
pelas,26387,pt
dito,26361,pt
respeito,26328,pt
completamente,26305,pt
deveria,26296,pt
vista,26285,pt
charlie,26279,pt
breve,26245,pt
melhores,26137,pt
bonita,26119,pt
normal,26084,pt
devemos,26077,pt
fiquei,26050,pt
mortos,26023,pt
faria,26018,pt
tom,26017,pt
mesa,25971,pt
preso,25938,pt
simples,25881,pt
iria,25822,pt
fixe,25822,pt
emprego,25738,pt
achei,25735,pt
faças,25707,pt
chama,25695,pt
linha,25690,pt
dizes,25672,pt
real,25600,pt
nave,25596,pt
lembras-te,25525,pt
assunto,25478,pt
vale,25387,pt
cala-te,25351,pt
ataque,25342,pt
pensava,25322,pt
frank,25238,pt
graças,25105,pt
escolha,25016,pt
ordem,25004,pt
viva,24984,pt
fundo,24980,pt
terá,24919,pt
doente,24909,pt
acidente,24794,pt
the,24729,pt
modo,24720,pt
provas,24690,pt
resposta,24685,pt
bocado,24621,pt
papá,24589,pt
avião,24550,pt
deixe-me,24466,pt
vindo,24286,pt
após,24280,pt
erro,24260,pt
acredita,24243,pt
miúdos,24225,pt
verdadeiro,24200,pt
jesus,24177,pt
idade,24163,pt
fizeram,24143,pt
fantástico,24119,pt
pare,24103,pt
morta,24091,pt
leva,24087,pt
percebo,24061,pt
saiu,24028,pt
pensas,23940,pt
advogado,23859,pt
conhece,23818,pt
espaço,23805,pt
estivesse,23744,pt
fazia,23722,pt
serviço,23693,pt
missão,23651,pt
ler,23548,pt
louco,23517,pt
bons,23511,pt
conhecer,23483,pt
nele,23451,pt
lindo,23430,pt
informação,23406,pt
abrir,23372,pt
mente,23366,pt
mike,23343,pt
perceber,23330,pt
amo-te,23325,pt
programa,23303,pt
veja,23281,pt
sol,23231,pt
fomos,23182,pt
simplesmente,23138,pt
caixa,23135,pt
sete,23076,pt
senhores,23059,pt
hotel,23042,pt
nessa,22973,pt
gostar,22957,pt
incrível,22924,pt
puta,22905,pt
amo,22890,pt
vai-te,22838,pt
david,22829,pt
dor,22805,pt
joe,22759,pt
dessa,22755,pt
presente,22694,pt
carta,22688,pt
governo,22677,pt
barco,22636,pt
loja,22579,pt
energia,22557,pt
pra,22549,pt
vítima,22549,pt
roupa,22539,pt
voz,22522,pt
trouxe,22511,pt
luta,22483,pt
câmara,22457,pt
disse-me,22441,pt
fome,22418,pt
professor,22353,pt
estúpido,22349,pt
mamã,22276,pt
mostrar,22252,pt
hipótese,22242,pt
telemóvel,22142,pt
reunião,22094,pt
prova,22071,pt
percebi,22031,pt
casar,22016,pt
general,21998,pt
peter,21989,pt
volto,21965,pt
trazer,21958,pt
olho,21930,pt
chamado,21913,pt
conseguiu,21911,pt
exército,21887,pt
através,21878,pt
lei,21782,pt
digas,21742,pt
banco,21720,pt
naquela,21710,pt
deixe,21708,pt
nesse,21670,pt
disseram,21659,pt
conseguimos,21637,pt
segunda,21622,pt
tempos,21591,pt
podias,21522,pt
tocar,21455,pt
mês,21443,pt
tiro,21441,pt
fbi,21381,pt
soube,21365,pt
tenhas,21357,pt
quantos,21347,pt
creio,21347,pt
george,21331,pt
papel,21235,pt
sonho,21183,pt
ver-te,21178,pt
desse,21158,pt
tínhamos,21105,pt
bar,21103,pt
povo,21103,pt
tentei,21088,pt
eras,20966,pt
fizemos,20965,pt
cena,20964,pt
tenente,20939,pt
centro,20921,pt
tivemos,20913,pt
conversar,20878,pt
teres,20872,pt
nao,20855,pt
vê-lo,20850,pt
proteger,20840,pt
diabo,20830,pt
parabéns,20812,pt
bebida,20767,pt
aposto,20750,pt
base,20721,pt
tradução,20707,pt
sinto-me,20705,pt
esperem,20699,pt
excelente,20680,pt
comandante,20659,pt
voltou,20640,pt
namorada,20627,pt
precisam,20551,pt
sabias,20549,pt
empresa,20494,pt
resolver,20482,pt
metade,20445,pt
impossível,20407,pt
lembro,20366,pt
desapareceu,20252,pt
interessante,20222,pt
acerca,20208,pt
segundos,20185,pt
cair,20161,pt
engraçado,20156,pt
bela,20150,pt
mentir,20126,pt
costas,20094,pt
chave,20092,pt
divertido,20068,pt
ouviste,20057,pt
juro,20055,pt
escrever,20038,pt
piada,20029,pt
oito,19994,pt
levou,19950,pt
passada,19920,pt
guarda,19916,pt
controlo,19914,pt
daí,19901,pt
apartamento,19897,pt
segredo,19896,pt
decisão,19860,pt
funciona,19850,pt
posição,19844,pt
surpresa,19830,pt
parecia,19813,pt
cerca,19716,pt
céu,19679,pt
negócios,19673,pt
cabo,19665,pt
receber,19663,pt
motivo,19660,pt
imediatamente,19601,pt
olhem,19541,pt
vidas,19538,pt
passo,19477,pt
tribunal,19405,pt
max,19400,pt
contacto,19380,pt
começa,19363,pt
ora,19349,pt
ótimo,19343,pt
bolas,19341,pt
trabalha,19321,pt
tenham,19299,pt
inferno,19295,pt
estrada,19273,pt
delas,19254,pt
falei,19237,pt
diria,19226,pt
cheio,19224,pt
companhia,19201,pt
ouça,19193,pt
sejas,19155,pt
horrível,19135,pt
escuta,19108,pt
saída,19071,pt
ordens,19026,pt
namorado,19017,pt
norte,19004,pt
explicar,19001,pt
aprender,18986,pt
senhoras,18951,pt
fazendo,18934,pt
encontrou,18913,pt
quente,18911,pt
querias,18898,pt
esquece,18794,pt
prometo,18777,pt
saia,18766,pt
padre,18725,pt
detective,18715,pt
ouro,18712,pt
perigo,18698,pt
perdi,18658,pt
falou,18621,pt
coronel,18616,pt
alma,18612,pt
diferentes,18590,pt
naquele,18557,pt
vestido,18557,pt
últimos,18544,pt
planeta,18541,pt
máquina,18526,pt
raparigas,18511,pt
pés,18493,pt
